name,latitude,longitude,feature_class,feature_code,type,scale
Kahui Number 2,-39.31667,123.93333,T,HLL,hill,5
Puke Range,-36.78333,175.13333,T,MTS,mountains,2
The Alderman Islands,-36.96667,176.08333000000002,T,ISLS,islands,3
Tahorakui,-38.47896,176.27241999999998,P,PPL,populated place,4
Manukau County,-37.0,175.0,A,ADMD,administrative division,3
Bartlett Creek,-41.51667,173.6,H,STM,stream,3
Bartlett,-38.85,177.88333,P,PPL,populated place,4
Barrier Branch,-44.45,168.23333,H,STM,stream,3
Ball Road,-39.68333,174.43333,S,RSTN,railroad station,5
Arawhata Stream,-39.05,177.05,H,STM,stream,3
Askew Hill,-41.03333,173.7,T,MT,mountain,5
Arthur’s Pass,-42.95,171.56667,P,PPL,populated place,4
Ardmore College,-37.03333,175.0,P,PPL,populated place,4
Zora Glacier,-43.76667,169.85,H,GLCR,glacier(s),4
Zora Creek,-43.81667,169.83333000000002,H,STM,stream,3
Zit Creek,-42.96667,171.15,H,STM,stream,3
Zig-zag Creek,-44.1,169.35,H,STM,stream,3
Zigzag,-43.65,172.91666999999998,T,MT,mountain,5
Mount Zieland,-43.88333,169.35,T,MT,mountain,5
Mount Zetland,-41.4,172.28333,T,MT,mountain,5
Zeilian Creek,-43.9,169.51667,H,STM,stream,3
Mount Zeilian,-43.85,169.51667,T,MT,mountain,5
Zampa,-42.35,172.45,T,MT,mountain,5
Yvon Villarceau Peak,-52.53333000000001,169.0,T,PK,peak,5
Yule Island,-50.55,166.3,T,ISL,island,4
Yoxon,-41.16667,174.8,T,MT,mountain,5
Youngs Valley,-45.83333,169.65,T,VAL,valley,4
Young River,-44.2,169.23333,H,STM,stream,3
Young Range,-44.21667,169.36667,T,MTS,mountains,2
Young Peak,-44.15,169.08333000000002,T,PK,peak,5
Young Nicks Head,-38.76667,177.96667,T,CAPE,cape,5
Young Hill Creek,-45.16667,169.5,H,STM,stream,3
Mount Young,-43.13333,171.06667,T,MT,mountain,5
Mount Young,-36.2,175.38333,T,MT,mountain,5
Mount York,-45.56667,167.73333,T,MT,mountain,5
Mount York,-40.7,176.16666999999998,T,MT,mountain,5
Yncyca Bay,-41.13333,173.9,H,BAY,bay,3
Yeo Stream,-42.1,173.26667,H,STM,stream,3
Yeomans Creek,-44.75,170.2,H,STM,stream,3
Yellow Hill,-45.68333,170.13333,T,MT,mountain,5
Yellow Hill,-45.56667,170.35,T,MT,mountain,5
Yates Point,-44.5,167.8,T,PT,point,4
Yarrow Stream,-39.66667,176.56667,H,STM,stream,3
Yarra River,-42.23333,173.06667,H,STM,stream,3
Yard Creek,-45.18333,169.35,H,STM,stream,3
Yanks Hill,-42.26667,172.6,T,MT,mountain,5
Yaldhurst,-43.51667,172.51667,P,PPL,populated place,4
Mount Wynn,-41.95,172.05,T,MT,mountain,5
Wyndham,-46.33333,168.85,P,PPL,populated place,4
Wylies Crossing,-45.85,170.31667,P,PPL,populated place,4
Wye River,-41.61667,173.33333000000002,H,STM,stream,3
Wye Hill Stream,-41.65,173.31667,H,STM,stream,3
Wrights Gully,-44.96667,168.96667,T,GRGE,gorge(s),5
Wright Creek,-41.45,172.55,H,STM,stream,3
Wreys Bush,-46.01667,168.1,P,PPL,populated place,4
Wren Creek,-42.96667,171.15,H,STM,stream,3
Wreck Reef,-47.1,168.26667,H,RF,reef(s),4
Mount Wray,-44.06667,169.51667,T,MT,mountain,5
Wratts Stream,-41.41667,173.9,H,STM,stream,3
Worsley Stream,-44.95,167.83333000000002,H,STM,stream,3
Worlingham,-43.45,172.25,S,FRM,farm,4
Worley Stream,-41.66667,171.81667,H,STM,stream,3
Mount Woore,-40.81667,173.85,T,MT,mountain,5
Woolston,-43.547270000000005,172.67744,P,PPLX,section of populated place,3
Woolshed Hill,-43.55,171.76667,T,MT,mountain,5
Woolshed Hill,-43.3,171.41666999999998,T,MT,mountain,5
Woolshed Hill,-42.96667,171.76667,T,MT,mountain,5
Woolshed Gully,-44.58333,171.1,T,GRGE,gorge(s),5
Woolshed Creek,-44.96667,169.76667,H,STM,stream,3
The Woolsack,-44.0,168.91666999999998,T,HLL,hill,5
Woolley River,-42.2,172.21667,H,STM,stream,3
Woody Knoll,-46.06667,168.35,T,HLL,hill,5
Woody Hill,-37.03333,175.8,T,MT,mountain,5
Woody Head,-37.85,174.76667,T,PT,point,4
Woody Gully,-44.7,168.71667,T,GRGE,gorge(s),5
Woodville County,-40.33333,176.0,A,ADM1H,historical first-order administrative division,3
Woodville,-40.33333,175.86667,A,ADMD,administrative division,3
Woodstock,-42.76667,171.0,P,PPL,populated place,4
Woodside Creek,-41.93333,174.1,H,STM,stream,3
Woodside,-45.86667,170.18333,P,PPL,populated place,4
Woodside,-41.06667,175.4,P,PPL,populated place,4
Woodpecker Bay,-42.03333,171.38333,H,BAY,bay,3
Woodleigh,-37.53134,174.90268999999998,P,PPL,populated place,4
Woodlaw,-46.03333,168.01667,S,RSTN,railroad station,5
Woodlaw,-46.01667,167.91666999999998,T,MT,mountain,5
Woodlands,-46.36667,168.55,P,PPL,populated place,4
Woodlands,-45.91667,167.65,S,FRM,farm,4
Wooding Bay,-46.85,168.08333000000002,H,BAY,bay,3
Wood Hill,-46.58333,167.86667,T,MT,mountain,5
Woodhill,-36.75,174.43333,P,PPL,populated place,4
Woodhill,-35.73174,174.31037,P,PPLX,section of populated place,3
Woodhen Hill,-45.6,167.91666999999998,T,MT,mountain,5
Woodhen Creek,-44.16667,168.48333,H,STM,stream,3
Woodhen Cove,-45.61667,166.55,H,COVE,cove(s),4
Wood Head,-45.33333,167.0,T,CAPE,cape,5
Woodend,-46.46667,168.38333,P,PPL,populated place,4
Woodend,-43.31667,172.66666999999998,P,PPL,populated place,4
Wooded Peak,-41.33333,173.35,T,PK,peak,5
Wood Cutters Peak,-44.86667,167.48333,T,PK,peak,5
Woodcocks,-36.45,174.56667,P,PPL,populated place,4
Woodbury,-44.03333,171.2,P,PPL,populated place,4
Wood Burn,-45.41667,168.05,H,STM,stream,3
Woodbourne,-41.5,173.91666999999998,P,PPL,populated place,4
Woodbank Stream,-42.06667,173.95,H,STM,stream,3
Woodbank,-42.15,173.9,A,ADMD,administrative division,3
Mount Wolseley,-43.43333,170.53333,T,MT,mountain,5
Wolf River,-44.48333,167.83333000000002,H,STM,stream,3
Wix River,-42.61667,172.03333,H,STM,stream,3
Cape Wiwiki,-35.15,174.11667,T,CAPE,cape,5
Wither Peak,-45.16667,168.51667,T,PK,peak,5
Wisp Hill,-46.38333,169.41666999999998,T,MT,mountain,5
Wish,-41.5,175.25,T,MT,mountain,5
Mount Wise,-42.11667,171.63333,T,MT,mountain,5
Wiroa Island,-37.01667,174.81667,T,ISL,island,4
Wiritoa Lake,-39.96667,175.08333000000002,H,LK,lake,4
Wiritoa,-39.96667,175.1,P,PPL,populated place,4
Wiri,-37.0,174.86667,S,RSTN,railroad station,5
Win Valley,-41.28333,172.91666999999998,T,VAL,valley,4
Winton Stream,-46.21667,168.28333,H,STM,stream,3
Winton Hill,-46.11667,168.36667,T,HLL,hill,5
Winton,-46.15,168.33333000000002,A,ADMD,administrative division,3
Winton,-46.15,168.31667,A,ADM1H,historical first-order administrative division,3
Winterton River,-41.95,173.53333,H,STM,stream,3
Mount Winterton,-41.98333,173.53333,T,MT,mountain,5
Winterslow Range,-43.58333,171.38333,T,MTS,mountains,2
Mount Winterslow,-43.58333,171.4,T,MT,mountain,5
Winterburn Stream,-42.33333,173.2,H,STM,stream,3
Winslow,-43.95,171.65,P,PPL,populated place,4
Winscombe,-44.0,170.83333000000002,P,PPL,populated place,4
Wini,-38.5,175.41666999999998,T,MT,mountain,5
Wingatui,-45.88333,170.38333,P,PPL,populated place,4
Wingate Stream,-40.7,176.13333,H,STM,stream,3
Windy Peak,-41.3,175.51667,T,PK,peak,5
Windy Knob,-42.63333,172.61667,T,MT,mountain,5
Windy Hill,-45.46667,168.13333,T,MT,mountain,5
Windy,-40.9,176.16666999999998,T,MT,mountain,5
Windwhistle,-43.5,171.68333,P,PPL,populated place,4
Windward Islands,-49.67361,178.72388999999998,T,ISLS,islands,3
Mount Windward,-42.0,172.66666999999998,T,MT,mountain,5
Windsor Point,-46.2,166.65,T,PT,point,4
Windsor,-45.0,170.8,P,PPL,populated place,4
Windrow Creek,-43.86667,169.23333,H,STM,stream,3
The Window,-45.51667,170.0,T,RK,rock,5
Windon Burn,-45.16667,168.16666999999998,H,STM,stream,3
Windley River,-45.55,168.15,H,STM,stream,3
Winding Creek,-43.2,171.83333000000002,H,STM,stream,3
Windermere,-43.98333,171.61667,P,PPL,populated place,4
The Windbag,-43.73333,169.4,H,STM,stream,3
Win Creek,-41.28333,172.91666999999998,H,STM,stream,3
Winchmore,-43.83333,171.71667,P,PPL,populated place,4
Winchester,-44.2,171.28333,P,PPL,populated place,4
Wimbledon Stream,-40.45,176.5,H,STM,stream,3
Wimbledon,-40.44104,176.50759,P,PPL,populated place,4
Wilson Siding,-43.38333,172.61667,S,RSTN,railroad station,5
Wilsons Bay,-45.06667,168.55,H,BAY,bay,3
Wilson River,-46.18333,166.65,H,STM,stream,3
Wilson Pass,-44.0,169.6,T,PASS,pass,4
Wilson Creek,-44.08333,169.36667,H,STM,stream,3
Wilson Creek,-43.91667,169.66666999999998,H,STM,stream,3
Wilson Creek,-40.8,172.63333,H,STM,stream,3
Broad Bay,-47.26667,167.6,H,BAY,bay,3
Wilson Bay,-41.06667,173.91666999999998,H,BAY,bay,3
Mount Wilson,-44.06667,169.35,T,MT,mountain,5
Mount Wilson,-42.71667,171.85,T,MT,mountain,5
Mount Wilson,-42.66667,173.38333,T,MT,mountain,5
Mount Wilson,-40.06667,175.15,T,HLL,hill,5
Lake Wilson,-44.7,168.18333,H,LK,lake,4
Wilmot Pass,-45.51667,167.18333,T,PASS,pass,4
Mount Wilmot,-45.51667,167.18333,T,MT,mountain,5
Lake Wilmot,-44.41667,168.21667,H,LK,lake,4
Wilmers Stream,-42.41667,172.68333,H,STM,stream,3
Wills River,-44.05,169.38333,H,STM,stream,3
Wills Peak,-43.96667,169.63333,T,PK,peak,5
Wills Creek,-43.91667,169.61667,H,STM,stream,3
Willowby,-43.98333,171.68333,P,PPL,populated place,4
Willowbridge,-44.78333,171.11667,P,PPL,populated place,4
Williams Valley,-42.43333,172.76667,T,VAL,valley,4
Williamsons Flat,-44.4,168.53333,U,FLTU,,
