,0
0,Stream
1,Basin
2,Place
3,Site
4,Range
5,Valley
6,Hill
7,Cave
8,Pass
9,Rock
10,Recreation Reserve
11,Suburb
12,Channel
13,Ridge
14,Glacier
15,Point
16,Lake
17,National Park
18,Roadstead
19,Scenic Reserve
20,Bay
21,Locality
22,Flat
23,Waterfall
24,Bank
25,Cliff
26,Island
27,Wilderness Area
28,Peninsula
29,Trough
30,Pool
31,Guyot
32,Amenity Area
33,Ecological Area
34,Town
35,Historic Reserve
36,Wetland
37,Conservation Park
38,Building
39,Railway Station
40,Reef
41,Canyon
42,Ice Feature
43,Marine Reserve
44,Local Authority
45,Road
46,Beach
47,Seamount
48,Shoal
49,Nature Reserve
50,Forest
51,Government Purpose Reserve
52,Bend
53,Recreation
54,Historic Antarctic
55,Coast Feature
56,Seamount Chain
57,Scientific Reserve
58,Plateau
59,Sea
60,Ford
61,Fracture Zone
62,Scarp
63,Appellation
64,Trig Station
65,Ledge
66,Area
67,Spit
68,Bush
69,Historic Site
70,City
71,Railway Line
72,Shelf
73,Escarpment
74,Facility
75,Fork
76,Track
77,Chasm
78,Gap
79,Knoll
80,Marine Feature
81,Crater
82,Estuary
83,Hole
84,Isthmus
85,Seachannel
86,Fan
87,Village
88,Spring
89,Rapid
90,Volcano
91,Rise
92,Cape
93,Clearing
94,Sea Valley
95,Railway Crossing
96,Bridge
97,Slope
98,Spur
99,Terrace
100,Sanctuary Area
101,Mound
102,Trench
103,Pinnacle
104,Canal
105,Wildlife Management Area
106,Railway Junction
107,Deep
108,Peak
109,Mud Volcano
110,Port
111,Abyssal Plain
112,Saddle
113,Caldera
114,Desert
115,Plain
116,Reserve (non-CPA)
117,Shelf-Edge
118,Crevasse
119,Sill
