,toponym,pid,type,scale
0,15 Mile Creek,15040,stream,3
1,17 Mile Creek,54362,stream,3
2,1st Basin,15042,pan,4
3,2nd Basin,15044,pan,4
4,3rd Basin,15046,pan,4
5,45th Parallel marker,15047,historical site,5
6,4th Basin,15048,pan,4
7,5 Mile Creek,15049,stream,3
8,A1 Creek,15051,stream,3
9,Aan River,15052,stream,3
10,Aaron Creek,15053,stream,3
11,Abaft Gully,15054,gorge(s),5
12,Abandon Brook,15055,stream,3
13,Abbey Caves,15057,cave(s),5
14,Abbey Pass,54672,pass,4
15,Abbey Rocks,15058,rocks,4
16,Abbots Creek,15059,stream,3
17,Abbotsford,15060,populated place,4
18,Abbott Passage,15061,strait,4
19,Abbotts Creek,56486,stream,3
20,Abbotts Hill,15062,mountain,5
21,ABC Cave,54674,cave(s),5
22,Abel Glacier,1,glacier(s),4
23,Abel Head,49636,point,4
24,Abel Head,15064,cape,5
25,Abel Janszoon Glacier,2,glacier(s),4
26,Abel Lake,3,lake,4
27,Abel Tasman Monument,15066,historical site,5
28,Abel Tasman National Park,4,park,4
29,Abel Tasman Point,5,point,4
30,Abel Tasman Roadstead,6,strait,4
31,Abernethys Creek,15067,stream,3
32,Abes Gully,15068,gorge(s),5
33,Abners Head,15069,hill,5
34,Abrahams Bay,15070,bay,3
35,Abrahams Bosom,15071,bay,3
36,Abruzzi Glacier,7,glacier(s),4
37,Abseil Peak,8,hill,5
38,Absolum Creek,15073,stream,3
39,Abut Head,15074,point,4
40,Acacia Bay,15075,populated place,4
41,Acacia Bay,49637,populated place,4
42,Acacia Bay North,9,bay,3
43,Acacia Bay South,10,bay,3
44,Access Creek,15077,stream,3
45,Access Creek,15076,stream,3
46,Access Peak,11,hill,5
47,Accident Creek,15078,stream,3
48,Accord Point,15079,point,4
49,Acheron Anchorage,15080,bay,3
50,Acheron Flat,12,plain(s),3
51,Acheron Lakes,13,lake,4
52,Acheron Passage,15081,strait,4
53,Acheron Point,15082,point,4
54,Acheron River,15084,stream,3
55,Acheron River,15083,stream,3
56,Acheron Saddle,15085,pass,4
57,Acheson Stream,15087,stream,3
58,Achilles Point,15,point,4
59,Aciphylla Creek,16,stream,3
60,Aciphylla Stream,15089,stream,3
61,Ackers Point,15090,point,4
62,Acland Falls,15091,waterfall(s),5
63,Acland Lagoon,15092,lake,4
64,Acre Creek,15093,stream,3
65,Acrobat Creek,15094,stream,3
66,Acton Stream,15095,stream,3
67,Actual Creek,15096,stream,3
68,Ada Creek,15097,stream,3
69,Ada Flat,17,plain(s),3
70,Ada Flat,15098,plain(s),3
71,Adair,15101,locality,4
72,Adam Creek,15103,stream,3
73,Adam Creek,18,stream,3
74,Adam Creek,19,stream,3
75,Adam Head,15104,point,4
76,Adams Burn,20,stream,3
77,Adams Col,21,pass,4
